ID,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-1220,2,2016-12-29 14:11:52,2016-12-29 20:11:52,42.649840000000005,-73.74840999999999,42.63988,-73.75319,0.73,At US-9/US-20/Exit 3/Exit 4 - Accident.,nan,Erie Canalway Trl,R,Albany,Albany,NY,12207,US,US/Eastern,KALB,2016-12-29 14:22:00,33.1,27.7,89.0,29.57,1.0,SW,5.8,0.02,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1231,2,2020-10-30 02:09:09,2020-10-30 04:18:02,40.760682,-73.963769,40.750662,-73.940519,1.4,Crash on Queensboro Bridge eastbound between Manhattan Side (Manhattan) and Queens Side (New York) left lane blocked,nan,Ed Koch Queensboro Brg E,R,New York,New York,NY,10022,US,US/Eastern,KNYC,2020-10-30 01:59:00,46.0,42.0,93.0,29.56,5.0,NNE,8.0,0.0,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-1242,2,2016-05-12 06:48:11,2016-05-12 12:48:11,40.734559999999995,-73.74417,40.73234,-73.74701,0.214,At Union Tpke/Exit 22 - Accident.,nan,Grand Central Pkwy W,R,Queens Village,Queens,NY,11427,US,US/Eastern,KJFK,2016-05-12 06:51:00,57.0,nan,77.0,30.14,10.0,NE,5.8,nan,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1269,2,2016-06-03 20:47:59,2016-06-04 02:47:59,40.84385,-73.8956,40.84406,-73.8975,0.1,At 3rd Ave/Exit 3 - Accident.,nan,Cross Bronx Expy W,R,Bronx,Bronx,NY,10457,US,US/Eastern,KLGA,2016-06-03 20:51:00,66.9,nan,81.0,30.02,10.0,South,10.4,nan,Mostly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-1276,2,2020-11-19 17:36:00,2020-11-19 19:37:17,43.182369,-77.484605,43.182365000000004,-77.483822,0.039,Incident on PLANK RD near SCRIBNER RD Drive with caution.,1300.0,Scribner Rd,L,Penfield,Monroe,NY,14526,US,US/Eastern,KROC,2020-11-19 17:54:00,61.0,61.0,27.0,29.45,10.0,SW,14.0,0.0,Mostly Cloudy,False,False,True,False,False,False,False,False,False,False,False,True,False,Night,Night,Day,Day
A-1296,2,2019-08-26 17:31:51,2019-08-26 18:01:28,40.69057,-73.99886,40.689440000000005,-73.9989,0.078,At Atlantic Ave/Exit 27 - Accident. Right lane blocked.,nan,Brooklyn Queens Expy,R,Brooklyn,Kings,NY,11201,US,US/Eastern,KJRB,2019-08-26 17:51:00,71.0,71.0,61.0,30.01,10.0,NE,7.0,0.0,Fair,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1314,2,2018-04-13 07:23:09,2018-04-13 13:23:09,40.61674,-74.02569,40.64418,-74.01821,1.936,Between I-278/Brooklyn Queens Expy/Gowanus Expy (South) and I-278/Brooklyn Queens Expy/Gowanus Expy (North) - Accident. Right lane blocked.,nan,Gowanus Expy E,R,Brooklyn,Kings,NY,11209,US,US/Eastern,KJRB,2018-04-13 07:15:00,59.0,nan,55.0,nan,10.0,West,10.4,nan,nan,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1343,2,2016-11-17 06:52:06,2016-11-17 07:21:47,40.836418,-73.873695,nan,nan,0.01,Accident on Bronx River Pkwy Southbound at Exit 5 177th St.,nan,Bronx River Pkwy N,R,Bronx,Bronx,NY,10460,US,US/Eastern,KLGA,2016-11-17 06:51:00,53.1,nan,69.0,29.98,10.0,WNW,11.5,nan,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1440,2,2018-04-19 07:37:45,2018-04-19 13:37:45,40.73892,-73.72428000000001,40.74008,-73.72543,0.1,At Union Tpke/Exit 28 - Accident. Lane blocked.,nan,Cross Island Pkwy N,R,Bellerose,Queens,NY,11426,US,US/Eastern,KJFK,2018-04-19 07:51:00,42.1,35.7,89.0,29.64,10.0,East,11.5,0.0,Overcast,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1492,2,2017-11-28 19:55:53,2017-11-29 01:55:53,40.835879999999996,-73.86978,40.835879999999996,-73.86978,0.0,At White Plains Rd/Exit 5 - Accident. Right lane blocked.,1436.0,Rosedale Ave,R,Bronx,Bronx,NY,10472,US,US/Eastern,KLGA,2017-11-28 19:51:00,53.1,nan,69.0,30.28,10.0,SSW,11.5,nan,Clear,False,False,True,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
